BusLoad,BusNo,Latitude,Longitude,Operator,ServiceId
Standing Available,175,1.3033801666666667,103.8304385,SBST,17009
Standing Available,175,1.2821696666666667,103.8233485,SBST,17009
Standing Available,32,1.2939833333333333,103.84240433333333,SBST,11379
Seats Available,32,1.2967376666666666,103.8148985,SBST,11379
Seats Available,33,1.289252,103.84741483333333,SBST,16009
Standing Available,33,1.287181,103.823924,SBST,16009
Seats Available,51,1.2872298333333334,103.84574983333333,SBST,28009
Seats Available,51,1.2914349999999999,103.81776766666667,SBST,28009
Seats Available,51,1.299877,103.8006575,SBST,28009
Seats Available,61,1.2657945,103.82066716666667,SMRT,43009
Seats Available,61,1.2820045,103.8017655,SMRT,43009
Seats Available,63,1.2899431666666668,103.847998,SBST,82009
Standing Available,63,1.2859851666666666,103.82743916666666,SBST,82009
Seats Available,63,1.2887118333333334,103.80918133333333,SBST,82009
Standing Available,7,1.2962625,103.851642,SBST,17009
Seats Available,7,1.301394,103.838713,SBST,17009
Seats Available,7,1.3194793333333332,103.78251316666666,SBST,17009
Seats Available,80,1.2841113333333334,103.8431195,SBST,14009
Seats Available,80,1.2662575,103.81972483333334,SBST,14009
Seats Available,130,1.2866471666666666,103.85342866666667,SBST,03239
Seats Available,130,1.2729460000000001,103.84676233333333,SBST,03239
Seats Available,133,1.2821625,103.85917183333333,SBST,03239
Seats Available,133,1.2727905,103.8458395,SBST,03239
Seats Available,145,1.2844755,103.843447,SBST,11379
Seats Available,145,1.267091,103.81807066666667,SBST,11379
Seats Available,145,1.2749363333333332,103.8147985,SBST,11379
Standing Available,197,1.2789855,103.83865633333333,SBST,28009
Standing Available,197,1.2862456666666666,103.80830116666667,SBST,28009
Seats Available,197,1.3134311666666667,103.76158883333333,SBST,28009
Seats Available,851,1.2943565000000001,103.85044883333333,SMRT,10009
Seats Available,851,1.2816718333333332,103.841034,SMRT,10009
Seats Available,851,1.2864278333333332,103.82201433333333,SMRT,10009
Standing Available,12,1.3108680000000001,103.87375966666667,GAS,77009
Seats Available,12,1.3009598333333334,103.89393883333334,GAS,77009
Standing Available,12,1.3126958333333334,103.92563616666666,GAS,77009
Seats Available,130,1.3032268333333334,103.85529416666667,SBST,54009
Standing Available,130,1.3164078333333333,103.85846033333334,SBST,54009
Seats Available,130,1.3368575,103.837334,SBST,54009
Seats Available,133,1.3152641666666667,103.86135883333333,SBST,54009
Standing Available,133,1.3330343333333334,103.8696525,SBST,54009
Standing Available,133,1.3570665,103.85471716666666,SBST,54009
Seats Available,2,1.2970768333333333,103.853021,GAS,99009
Standing Available,2,1.310491,103.87283833333333,GAS,99009
Seats Available,2,1.315232,103.89329583333334,GAS,99009
Standing Available,33,1.3020201666666666,103.8571825,SBST,84009
Seats Available,33,1.3060708333333333,103.8824675,SBST,84009
Standing Available,33,1.3148426666666666,103.90942166666666,SBST,84009
Seats Available,960,1.3052666666666666,103.85064366666667,SMRT,46009
Standing Available,960,1.3097265,103.84610183333334,SMRT,46009
Standing Available,960,1.3349741666666666,103.81124233333334,SMRT,46009
Seats Available,145,1.2982105,103.85548233333333,SBST,52009
Standing Available,145,1.312305,103.86165116666666,SBST,52009
Standing Available,145,1.3261711666666667,103.8487125,SBST,52009
Seats Available,175,1.3117066666666668,103.86211933333334,SBST,80009
Seats Available,197,1.3002766666666667,103.857037,SBST,84009
Seats Available,197,1.3084855,103.87760516666667,SBST,84009
Seats Available,197,1.3091791666666666,103.89453333333333,SBST,84009
Seats Available,32,1.3061728333333333,103.8825605,SBST,84009
Seats Available,32,1.3067725000000001,103.90625466666667,SBST,84009
Seats Available,51,1.2986751666666667,103.8557975,SBST,64009
Seats Available,51,1.3157045,103.895484,SBST,64009
Seats Available,51,1.3159965,103.89699333333333,SBST,64009
Seats Available,61,1.2980583333333333,103.85522716666667,SMRT,82009
Seats Available,61,1.3136265,103.86313466666667,SMRT,82009
Seats Available,61,1.326159,103.88523133333334,SMRT,82009
Standing Available,63,1.2984596666666666,103.85563333333333,SBST,82009
Standing Available,63,1.3128448333333333,103.88127766666666,SBST,82009
Seats Available,63,1.326233,103.889668,SBST,82009
Seats Available,7,1.2983576666666667,103.85555966666666,SBST,84009
Seats Available,7,1.320871,103.91813383333333,SBST,84009
Seats Available,7,1.3251886666666666,103.92862066666666,SBST,84009
Seats Available,80,1.3043211666666668,103.86130216666666,SBST,67009
Standing Available,80,1.3187388333333334,103.885925,SBST,67009
Seats Available,80,1.33067,103.88958883333333,SBST,67009
Standing Available,851,1.3030393333333334,103.85556783333334,SMRT,59009
Standing Available,851,1.3196536666666667,103.84336883333333,SMRT,59009
Seats Available,851,1.330174,103.83971316666667,SMRT,59009
Standing Available,145,1.312305,103.86165116666666,SBST,52009
Standing Available,145,1.3261711666666667,103.8487125,SBST,52009
Seats Available,175,1.3117066666666668,103.86211933333334,SBST,80009
Seats Available,197,1.3002766666666667,103.857037,SBST,84009
Seats Available,197,1.3084855,103.87760516666667,SBST,84009
Seats Available,197,1.3091791666666666,103.89453333333333,SBST,84009
Seats Available,32,1.3061728333333333,103.8825605,SBST,84009
Seats Available,32,1.3067725000000001,103.90625466666667,SBST,84009
Seats Available,51,1.2986751666666667,103.8557975,SBST,64009
Seats Available,51,1.3157045,103.895484,SBST,64009
Seats Available,51,1.3159965,103.89699333333333,SBST,64009
Seats Available,61,1.3136265,103.86313466666667,SMRT,82009
Seats Available,61,1.326159,103.88523133333334,SMRT,82009
Seats Available,61,1.3255323333333333,103.90561133333334,SMRT,82009
Standing Available,63,1.3128448333333333,103.88127766666666,SBST,82009
Seats Available,63,1.326233,103.889668,SBST,82009
Seats Available,63,1.3187848333333334,103.90243716666667,SBST,82009
Seats Available,7,1.320871,103.91813383333333,SBST,84009
Seats Available,7,1.3251886666666666,103.92862066666666,SBST,84009
Seats Available,80,1.3043211666666668,103.86130216666666,SBST,67009
Standing Available,80,1.3187388333333334,103.885925,SBST,67009
Seats Available,80,1.33067,103.88958883333333,SBST,67009
Standing Available,851,1.3030393333333334,103.85556783333334,SMRT,59009
Standing Available,851,1.3196536666666667,103.84336883333333,SMRT,59009
Seats Available,851,1.330174,103.83971316666667,SMRT,59009
Standing Available,12,1.3108680000000001,103.87375966666667,GAS,77009
Seats Available,12,1.3009598333333334,103.89393883333334,GAS,77009
Standing Available,12,1.3126958333333334,103.92563616666666,GAS,77009
Seats Available,130,1.3032268333333334,103.85529416666667,SBST,54009
Standing Available,130,1.3164078333333333,103.85846033333334,SBST,54009
Seats Available,130,1.3368575,103.837334,SBST,54009
Seats Available,133,1.3152641666666667,103.86135883333333,SBST,54009
Standing Available,133,1.3330343333333334,103.8696525,SBST,54009
Standing Available,133,1.3570665,103.85471716666666,SBST,54009
Standing Available,2,1.310491,103.87283833333333,GAS,99009
Seats Available,2,1.315232,103.89329583333334,GAS,99009
Seats Available,2,1.3209775,103.91839383333334,GAS,99009
Standing Available,33,1.3020201666666666,103.8571825,SBST,84009
Seats Available,33,1.3060708333333333,103.8824675,SBST,84009
Standing Available,33,1.3148426666666666,103.90942166666666,SBST,84009
Seats Available,960,1.3052666666666666,103.85064366666667,SMRT,46009
Standing Available,960,1.3097265,103.84610183333334,SMRT,46009
Standing Available,960,1.3349741666666666,103.81124233333334,SMRT,46009
Standing Available,175,1.3033801666666667,103.8304385,SBST,17009
Standing Available,175,1.2821696666666667,103.8233485,SBST,17009
Standing Available,197,1.2789855,103.83865633333333,SBST,28009
Standing Available,197,1.2862456666666666,103.80830116666667,SBST,28009
Seats Available,197,1.3134311666666667,103.76158883333333,SBST,28009
Seats Available,63,1.2899431666666668,103.847998,SBST,82009
Standing Available,63,1.2859851666666666,103.82743916666666,SBST,82009
Seats Available,63,1.2887118333333334,103.80918133333333,SBST,82009
Standing Available,7,1.2962625,103.851642,SBST,17009
Seats Available,7,1.301394,103.838713,SBST,17009
Seats Available,7,1.3194793333333332,103.78251316666666,SBST,17009
Seats Available,80,1.2841113333333334,103.8431195,SBST,14009
Seats Available,80,1.2662575,103.81972483333334,SBST,14009
Seats Available,851,1.2943565000000001,103.85044883333333,SMRT,10009
Seats Available,851,1.2816718333333332,103.841034,SMRT,10009
Seats Available,851,1.2864278333333332,103.82201433333333,SMRT,10009
Seats Available,960,1.2998851666666666,103.855135,SMRT,02099
Seats Available,980,1.3030315,103.86150933333333,SMRT,80009
Seats Available,130,1.2866471666666666,103.85342866666667,SBST,03239
Seats Available,130,1.2729460000000001,103.84676233333333,SBST,03239
Seats Available,133,1.2821625,103.85917183333333,SBST,03239
Seats Available,133,1.2727905,103.8458395,SBST,03239
Seats Available,145,1.2844755,103.843447,SBST,11379
Seats Available,145,1.267091,103.81807066666667,SBST,11379
Seats Available,145,1.2749363333333332,103.8147985,SBST,11379
Standing Available,32,1.2939833333333333,103.84240433333333,SBST,11379
Seats Available,32,1.2967376666666666,103.8148985,SBST,11379
Seats Available,33,1.289252,103.84741483333333,SBST,16009
Standing Available,33,1.287181,103.823924,SBST,16009
Seats Available,51,1.2872298333333334,103.84574983333333,SBST,28009
Seats Available,51,1.2914349999999999,103.81776766666667,SBST,28009
Seats Available,51,1.299877,103.8006575,SBST,28009
Seats Available,61,1.2969958333333333,103.85273233333334,SMRT,43009
Seats Available,61,1.2657945,103.82066716666667,SMRT,43009
Seats Available,61,1.2820045,103.8017655,SMRT,43009
Standing Available,12,1.3108680000000001,103.87375966666667,GAS,77009
Seats Available,12,1.3009598333333334,103.89393883333334,GAS,77009
Standing Available,12,1.3126958333333334,103.92563616666666,GAS,77009
Seats Available,130,1.3032268333333334,103.85529416666667,SBST,54009
Standing Available,130,1.3164078333333333,103.85846033333334,SBST,54009
Seats Available,130,1.3368575,103.837334,SBST,54009
Seats Available,133,1.3152641666666667,103.86135883333333,SBST,54009
Standing Available,133,1.3330343333333334,103.8696525,SBST,54009
Standing Available,133,1.3570665,103.85471716666666,SBST,54009
Standing Available,2,1.310491,103.87283833333333,GAS,99009
Seats Available,2,1.315232,103.89329583333334,GAS,99009
Seats Available,2,1.3209775,103.91839383333334,GAS,99009
Standing Available,33,1.3020201666666666,103.8571825,SBST,84009
Seats Available,33,1.3060708333333333,103.8824675,SBST,84009
Standing Available,33,1.3148426666666666,103.90942166666666,SBST,84009
Seats Available,960,1.3052666666666666,103.85064366666667,SMRT,46009
Standing Available,960,1.3097265,103.84610183333334,SMRT,46009
Standing Available,960,1.3349741666666666,103.81124233333334,SMRT,46009
Seats Available,130,1.2866471666666666,103.85342866666667,SBST,03239
Seats Available,130,1.2729460000000001,103.84676233333333,SBST,03239
Seats Available,133,1.2821625,103.85917183333333,SBST,03239
Seats Available,133,1.2727905,103.8458395,SBST,03239
Seats Available,145,1.3012676666666667,103.85623733333334,SBST,11379
Seats Available,145,1.2844755,103.843447,SBST,11379
Seats Available,145,1.267091,103.81807066666667,SBST,11379
Seats Available,175,1.3027096666666667,103.8574845,SBST,17009
Standing Available,175,1.3033801666666667,103.8304385,SBST,17009
Standing Available,175,1.2821696666666667,103.8233485,SBST,17009
Standing Available,197,1.2789855,103.83865633333333,SBST,28009
Standing Available,197,1.2862456666666666,103.80830116666667,SBST,28009
Standing Available,32,1.2939833333333333,103.84240433333333,SBST,11379
Seats Available,32,1.2967376666666666,103.8148985,SBST,11379
Seats Available,33,1.289252,103.84741483333333,SBST,16009
Standing Available,33,1.287181,103.823924,SBST,16009
Seats Available,51,1.2872298333333334,103.84574983333333,SBST,28009
Seats Available,51,1.2914349999999999,103.81776766666667,SBST,28009
Seats Available,51,1.299877,103.8006575,SBST,28009
Seats Available,61,1.2969958333333333,103.85273233333334,SMRT,43009
Seats Available,61,1.2657945,103.82066716666667,SMRT,43009
Seats Available,61,1.2820045,103.8017655,SMRT,43009
Seats Available,63,1.2899431666666668,103.847998,SBST,82009
Standing Available,63,1.2859851666666666,103.82743916666666,SBST,82009
Seats Available,63,1.2887118333333334,103.80918133333333,SBST,82009
Standing Available,7,1.2962625,103.851642,SBST,17009
Seats Available,7,1.301394,103.838713,SBST,17009
Seats Available,7,1.3194793333333332,103.78251316666666,SBST,17009
Seats Available,80,1.2841113333333334,103.8431195,SBST,14009
Seats Available,80,1.2662575,103.81972483333334,SBST,14009
Standing Available,12,1.3108680000000001,103.87375966666667,GAS,77009
Seats Available,12,1.3009598333333334,103.89393883333334,GAS,77009
Standing Available,12,1.3126958333333334,103.92563616666666,GAS,77009
Seats Available,133,1.3152641666666667,103.86135883333333,SBST,54009
Standing Available,133,1.3330343333333334,103.8696525,SBST,54009
Standing Available,133,1.3570665,103.85471716666666,SBST,54009
Standing Available,2,1.310491,103.87283833333333,GAS,99009
Seats Available,2,1.315232,103.89329583333334,GAS,99009
Seats Available,2,1.3209775,103.91839383333334,GAS,99009
Seats Available,33,1.3060708333333333,103.8824675,SBST,84009
Standing Available,33,1.3148426666666666,103.90942166666666,SBST,84009
Standing Available,145,1.312305,103.86165116666666,SBST,52009
Standing Available,145,1.3261711666666667,103.8487125,SBST,52009
Seats Available,175,1.3117066666666668,103.86211933333334,SBST,80009
Seats Available,197,1.3084855,103.87760516666667,SBST,84009
Seats Available,197,1.3091791666666666,103.89453333333333,SBST,84009
Seats Available,197,1.3056915,103.91099183333333,SBST,84009
Seats Available,32,1.3061728333333333,103.8825605,SBST,84009
Seats Available,32,1.3067725000000001,103.90625466666667,SBST,84009
Seats Available,32,1.3251793333333333,103.928531,SBST,84009
Seats Available,51,1.3157045,103.895484,SBST,64009
Seats Available,51,1.3159965,103.89699333333333,SBST,64009
Seats Available,51,1.322657,103.90544783333333,SBST,64009
Seats Available,61,1.3136265,103.86313466666667,SMRT,82009
Seats Available,61,1.326159,103.88523133333334,SMRT,82009
Seats Available,61,1.3255323333333333,103.90561133333334,SMRT,82009
Standing Available,63,1.3128448333333333,103.88127766666666,SBST,82009
Seats Available,63,1.326233,103.889668,SBST,82009
Seats Available,63,1.3187848333333334,103.90243716666667,SBST,82009
Seats Available,7,1.320871,103.91813383333333,SBST,84009
Seats Available,7,1.3251886666666666,103.92862066666666,SBST,84009
Seats Available,80,1.3043211666666668,103.86130216666666,SBST,67009
Standing Available,80,1.3187388333333334,103.885925,SBST,67009
Seats Available,80,1.33067,103.88958883333333,SBST,67009
Standing Available,851,1.3030393333333334,103.85556783333334,SMRT,59009
Standing Available,851,1.3196536666666667,103.84336883333333,SMRT,59009
Seats Available,851,1.330174,103.83971316666667,SMRT,59009
Seats Available,107M,1.2990671666666667,103.85862066666667,SBST,64009
Seats Available,107M,1.319964,103.869733,SBST,64009
Seats Available,107M,1.332457,103.869503,SBST,64009
Standing Available,133,1.3040723333333333,103.85887583333333,SBST,03239
Seats Available,133,1.2821625,103.85917183333333,SBST,03239
Seats Available,133,1.2727905,103.8458395,SBST,03239
Seats Available,145,1.3012676666666667,103.85623733333334,SBST,11379
Seats Available,145,1.2844755,103.843447,SBST,11379
Seats Available,145,1.267091,103.81807066666667,SBST,11379
Seats Available,175,1.3027096666666667,103.8574845,SBST,17009
Standing Available,175,1.3033801666666667,103.8304385,SBST,17009
Standing Available,175,1.2821696666666667,103.8233485,SBST,17009
Standing Available,197,1.2789855,103.83865633333333,SBST,28009
Standing Available,197,1.2862456666666666,103.80830116666667,SBST,28009
Standing Available,32,1.2939833333333333,103.84240433333333,SBST,11379
Seats Available,32,1.2967376666666666,103.8148985,SBST,11379
Seats Available,33,1.289252,103.84741483333333,SBST,16009
Standing Available,33,1.287181,103.823924,SBST,16009
Seats Available,51,1.2872298333333334,103.84574983333333,SBST,28009
Seats Available,51,1.2914349999999999,103.81776766666667,SBST,28009
Seats Available,51,1.299877,103.8006575,SBST,28009
Seats Available,61,1.2969958333333333,103.85273233333334,SMRT,43009
Seats Available,61,1.2657945,103.82066716666667,SMRT,43009
Seats Available,61,1.2820045,103.8017655,SMRT,43009
Seats Available,63,1.2899431666666668,103.847998,SBST,82009
Standing Available,63,1.2859851666666666,103.82743916666666,SBST,82009
Seats Available,63,1.2887118333333334,103.80918133333333,SBST,82009
Standing Available,7,1.2962625,103.851642,SBST,17009
Seats Available,7,1.301394,103.838713,SBST,17009
Seats Available,7,1.3194793333333332,103.78251316666666,SBST,17009
Seats Available,80,1.2841113333333334,103.8431195,SBST,14009
Seats Available,80,1.2662575,103.81972483333334,SBST,14009
Seats Available,107M,1.319964,103.869733,SBST,64009
Seats Available,107M,1.332457,103.869503,SBST,64009
Seats Available,107M,1.3714855,103.88973016666667,SBST,64009
Standing Available,12,1.3108680000000001,103.87375966666667,GAS,77009
Seats Available,12,1.3009598333333334,103.89393883333334,GAS,77009
Standing Available,12,1.3126958333333334,103.92563616666666,GAS,77009
Seats Available,133,1.3152641666666667,103.86135883333333,SBST,54009
Standing Available,133,1.3330343333333334,103.8696525,SBST,54009
Standing Available,133,1.3570665,103.85471716666666,SBST,54009
Standing Available,2,1.310491,103.87283833333333,GAS,99009
Seats Available,2,1.315232,103.89329583333334,GAS,99009
Seats Available,2,1.3209775,103.91839383333334,GAS,99009
Seats Available,33,1.3060708333333333,103.8824675,SBST,84009
Standing Available,33,1.3148426666666666,103.90942166666666,SBST,84009
Standing Available,145,1.312305,103.86165116666666,SBST,52009
Standing Available,145,1.3261711666666667,103.8487125,SBST,52009
Seats Available,175,1.3117066666666668,103.86211933333334,SBST,80009
Seats Available,197,1.3084855,103.87760516666667,SBST,84009
Seats Available,197,1.3091791666666666,103.89453333333333,SBST,84009
Seats Available,197,1.3056915,103.91099183333333,SBST,84009
Seats Available,32,1.3061728333333333,103.8825605,SBST,84009
Seats Available,32,1.3067725000000001,103.90625466666667,SBST,84009
Seats Available,32,1.3251793333333333,103.928531,SBST,84009
Seats Available,51,1.3157045,103.895484,SBST,64009
Seats Available,51,1.3159965,103.89699333333333,SBST,64009
Seats Available,51,1.322657,103.90544783333333,SBST,64009
