Longitude,Latitude,date,time
1.30054,103.80059,2017-03-17,18:58:56
1.396308,103.9099,2017-03-17,18:52:25
1.30345,103.76456,2017-03-17,18:57:08
1.358805,103.9547,2017-03-17,18:58:56
1.35883,103.98949,2017-03-17,18:54:20
1.27338,103.8481,2017-03-17,18:58:04
1.427443,103.7936,2017-03-17,18:55:15
1.41774,103.83805,2017-03-17,18:50:34
1.38832,103.77168,2017-03-17,18:52:25
1.344544,103.7352,2017-03-17,18:58:04
1.45441,103.81015,2017-03-17,18:57:08
1.407127,103.8578,2017-03-17,18:58:04
1.44219,103.77514,2017-03-17,18:55:15
1.37807,103.73326,2017-03-17,18:52:25
1.40933,103.87191,2017-03-17,18:50:34
1.34694,103.84698,2017-03-17,18:55:15
1.44097,103.83945,2017-03-17,18:57:08
1.34682,103.83865,2017-03-17,18:56:13
1.34669,103.72464,2017-03-17,18:54:20
1.3193,103.85395,2017-03-17,18:50:34
1.42823,103.8353,2017-03-17,18:50:34
1.28999,103.8348,2017-03-17,18:57:08
1.30476,103.8316,2017-03-17,18:50:34
1.30779,103.76205,2017-03-17,18:53:22
1.3439,103.96889,2017-03-17,18:50:34
1.39311,103.9124,2017-03-17,18:54:20
1.351093,103.9686,2017-03-17,18:54:20
1.42301,103.8366,2017-03-17,18:57:08
1.37217,103.95667,2017-03-17,18:51:30
1.452,103.7907,2017-03-17,18:52:25
1.31771,103.9066,2017-03-17,18:59:48
1.45042,103.81054,2017-03-17,18:52:25
1.28508,103.85047,2017-03-17,18:53:22
1.370818,103.7228,2017-03-17,18:52:25
1.30707,103.8281,2017-03-17,18:50:34
1.31111,103.94236,2017-03-17,18:50:34
1.35989,103.74625,2017-03-17,18:53:22
1.35486,103.98769,2017-03-17,18:55:15
1.385436,103.7697,2017-03-17,18:52:25
1.29233,103.85767,2017-03-17,18:51:30
1.34094,103.7555,2017-03-17,18:50:34
1.33544,103.93708,2017-03-17,18:55:15
1.35862,103.85423,2017-03-17,18:54:20
1.35415,103.9868,2017-03-17,18:54:20
1.37664,103.94496,2017-03-17,18:56:13
1.2882,103.83968,2017-03-17,18:51:30
1.40322,103.74426,2017-03-17,18:54:20
1.38674,103.74135,2017-03-17,18:50:34
1.32615,103.97265,2017-03-17,18:53:22
1.37809,103.74713,2017-03-17,18:53:22
1.34159,103.75534,2017-03-17,18:56:13
1.38422,103.77246,2017-03-17,18:56:13
1.38375,103.8434,2017-03-17,18:54:20
1.28159,103.84505,2017-03-17,18:50:34
1.27659,103.84702,2017-03-17,18:54:20
1.35085,103.8837,2017-03-17,18:55:15
1.36555,103.9577,2017-03-17,18:56:13
1.31103,103.87393,2017-03-17,18:55:15
1.37702,103.83873,2017-03-17,18:56:13
1.36879,103.9573,2017-03-17,18:51:30
1.36884,103.89989,2017-03-17,18:50:34
1.359105,103.938,2017-03-17,18:58:04
1.4418,103.769,2017-03-17,18:53:22
1.42569,103.76232,2017-03-17,18:56:13
1.34297,103.68668,2017-03-17,18:54:20
1.29033,103.84778,2017-03-17,18:53:22
1.44705,103.82275,2017-03-17,18:57:08
1.3708,103.8888,2017-03-17,18:55:15
1.323196,103.867,2017-03-17,18:54:20
1.27015,103.85783,2017-03-17,18:57:08
1.41965,103.83849,2017-03-17,18:57:08
1.37891,103.7734,2017-03-17,18:56:13
1.28044,103.85001,2017-03-17,18:50:34
