Longitude,Latitude,date,time
1.34225,103.83818,2017-03-15,18:56:35
1.32644,103.71091,2017-03-15,18:57:33
1.354037,103.9505,2017-03-15,18:59:31
1.372406,103.8721,2017-03-15,18:57:33
1.39076,103.87644,2017-03-15,18:56:35
1.36062,103.98855,2017-03-15,18:58:33
1.31768,103.69022,2017-03-15,18:57:33
1.33555,103.92788,2017-03-15,18:58:33
1.3752,103.93327,2017-03-15,18:56:35
1.30416,103.8335,2017-03-15,18:59:31
1.30375,103.81452,2017-03-15,18:58:33
1.30949,103.85987,2017-03-15,18:55:39
1.39166,103.84696,2017-03-15,18:55:39
1.3727,103.89393,2017-03-15,18:56:35
1.31308,103.88229,2017-03-15,18:57:33
1.35423,103.83615,2017-03-15,18:56:35
1.37461,103.87716,2017-03-15,18:56:35
1.28941,103.83147,2017-03-15,18:57:33
1.34345,103.93795,2017-03-15,18:57:33
1.3268,103.71533,2017-03-15,18:59:31
1.322517,103.9324,2017-03-15,18:57:33
1.29259,103.85701,2017-03-15,18:55:39
1.35357,103.9862,2017-03-15,18:58:33
1.34817,103.94785,2017-03-15,18:59:31
1.358085,103.8553,2017-03-15,18:58:33
1.36151,103.88481,2017-03-15,18:58:33
1.36537,103.83939,2017-03-15,18:59:31
1.37036,103.85206,2017-03-15,18:56:35
1.35028,103.95184,2017-03-15,18:56:35
1.27362,103.82524,2017-03-15,18:56:35
1.37434,103.88427,2017-03-15,18:57:33
1.31428,103.89537,2017-03-15,18:56:35
1.36885,103.88422,2017-03-15,18:58:33
1.31247,103.93838,2017-03-15,18:58:33
1.28243,103.84858,2017-03-15,18:59:31
1.3232,103.9344,2017-03-15,18:55:39
1.37814,103.7636,2017-03-15,18:56:35
1.31635,103.7759,2017-03-15,18:57:33
1.29442,103.85398,2017-03-15,18:59:31
1.2684,103.82759,2017-03-15,18:57:33
1.35247,103.94328,2017-03-15,18:56:35
1.30645,103.85365,2017-03-15,18:57:33
1.31704,103.77145,2017-03-15,18:58:33
1.42668,103.82654,2017-03-15,18:58:33
1.38065,103.76304,2017-03-15,18:55:39
1.30247,103.8655,2017-03-15,18:56:35
1.28773,103.84572,2017-03-15,18:58:33
1.30687,103.8567,2017-03-15,18:56:35
1.4368,103.79503,2017-03-15,18:58:33
1.27238,103.8125,2017-03-15,18:55:39
1.38523,104.00062,2017-03-15,18:57:33
1.34708,103.69254,2017-03-15,18:57:33
1.33416,103.84801,2017-03-15,18:58:33
1.35284,103.75976,2017-03-15,18:59:31
1.26953,103.81392,2017-03-15,18:56:35
1.37467,103.90974,2017-03-15,18:57:33
1.31264,103.87917,2017-03-15,18:55:39
1.3044,103.91284,2017-03-15,18:55:39
1.28772,103.8431,2017-03-15,18:57:33
1.33501,103.89609,2017-03-15,18:56:35
1.30542,103.8504,2017-03-15,18:56:35
1.29287,103.78598,2017-03-15,18:59:31
1.28921,103.77915,2017-03-15,18:58:33
1.38183,103.90314,2017-03-15,18:56:35
1.32527,103.90283,2017-03-15,18:57:33
1.35145,103.9444,2017-03-15,18:55:39
1.351461,103.9857,2017-03-15,18:55:39
1.30981,103.84749,2017-03-15,18:57:33
1.36584,103.898,2017-03-15,18:59:31
1.32276,103.79115,2017-03-15,18:59:31
1.3451,103.74802,2017-03-15,18:57:33
1.29035,103.862,2017-03-15,18:58:33
1.40793,103.78142,2017-03-15,18:57:33
1.32398,103.92869,2017-03-15,18:57:33
1.3506,103.98481,2017-03-15,18:59:31
1.296893,103.8176,2017-03-15,18:57:33
1.2808,103.83492,2017-03-15,18:58:33
1.33228,103.86747,2017-03-15,18:55:39
1.36834,103.84416,2017-03-15,18:55:39
1.31931,103.91346,2017-03-15,18:56:35
1.35175,103.98548,2017-03-15,18:59:31
1.31023,103.89741,2017-03-15,18:55:39
1.43766,103.82963,2017-03-15,18:59:31
1.33226,103.96765,2017-03-15,18:58:33
1.39036,103.89611,2017-03-15,18:55:39
1.43196,103.79587,2017-03-15,18:57:33
1.33476,103.9281,2017-03-15,18:57:33
1.34532,103.94582,2017-03-15,18:57:33
1.28067,103.8348,2017-03-15,18:56:35
1.347437,103.841,2017-03-15,18:57:33
1.28571,103.83493,2017-03-15,18:57:33
1.30518,103.78781,2017-03-15,18:58:33
1.31145,103.85925,2017-03-15,18:58:33
1.31502,103.94104,2017-03-15,18:59:31
1.31137,103.8751,2017-03-15,18:58:33
1.43458,103.84243,2017-03-15,18:58:33
1.3111,103.92004,2017-03-15,18:58:33
1.31464,103.88014,2017-03-15,18:56:35
1.33769,103.7024,2017-03-15,18:59:31
1.33639,103.96911,2017-03-15,18:56:35
1.35295,103.87917,2017-03-15,18:55:39
1.35748,103.98989,2017-03-15,18:59:31
1.30498,103.90559,2017-03-15,18:55:39
1.2801,103.8541,2017-03-15,18:56:35
1.32219,103.6627,2017-03-15,18:59:31
1.3392,103.8251,2017-03-15,18:59:31
1.316073,103.8842,2017-03-15,18:58:33
1.34058,103.94563,2017-03-15,18:55:39
1.356267,103.9551,2017-03-15,18:59:31
1.35515,103.9872,2017-03-15,18:57:33
1.313927,103.9312,2017-03-15,18:58:33
1.35511,103.72419,2017-03-15,18:59:31
1.28242,103.78658,2017-03-15,18:55:39
1.395772,103.9064,2017-03-15,18:57:33
1.34116,103.75553,2017-03-15,18:56:35
1.44225,103.7763,2017-03-15,18:56:35
1.31118,103.85584,2017-03-15,18:55:39
1.31751,103.78752,2017-03-15,18:58:33
1.35693,103.9881,2017-03-15,18:57:33
1.42913,103.76659,2017-03-15,18:59:31
1.30845,103.87764,2017-03-15,18:58:33
1.327655,103.8502,2017-03-15,18:59:31
1.31003,103.6797,2017-03-15,18:57:33
1.30785,103.88924,2017-03-15,18:58:33
1.32211,103.70035,2017-03-15,18:59:31
1.33744,103.7546,2017-03-15,18:57:33
1.38801,103.89189,2017-03-15,18:56:35
1.37622,103.89339,2017-03-15,18:58:33
1.36907,103.95669,2017-03-15,18:57:33
1.30176,103.9125,2017-03-15,18:55:39
1.30738,103.77791,2017-03-15,18:58:33
1.30653,103.83291,2017-03-15,18:58:33
1.27946,103.8515,2017-03-15,18:55:39
